hypothesis_id,hypothesis_type,status,confidence_tier,context,bb_level_ids,claim,evidence,matched_control,moa_class,caveats,evidence_rank_score
ZSH-0033,level_control_mimicry,hypothesis_strong,B,zel039_aec7,bb1=BB_2552014008,"bb1=BB_2552014008 mimics palbociclib (CDK inhibitor) - rank-1 control match, cos 0.555","cos=0.555, p=0.000 vs 200-draw gene-label-permutation null",palbociclib,CDK_inhibitor,weak_null,0.5546691818222107
ZSH-0034,level_control_mimicry,hypothesis_strong,B,zel039_aec7,bb1=BB_7747778414,"bb1=BB_7747778414 mimics palbociclib (CDK inhibitor) - rank-1 control match, cos 0.552","cos=0.552, p=0.000 vs 200-draw gene-label-permutation null",palbociclib,CDK_inhibitor,weak_null,0.5518720920836684
ZSH-0035,level_control_mimicry,hypothesis_strong,B,zel039_aec7,bb0=BB_8506073726,"bb0=BB_8506073726 mimics HTH-01-015 (HSF1 heat shock validated) - rank-1 control match, cos 0.551","cos=0.551, p=0.000 vs 200-draw gene-label-permutation null",HTH-01-015,HSF1_heat_shock_validated,weak_null,0.5511261518864483
ZSH-0036,level_control_mimicry,hypothesis_strong,B,zel024_hek293,bb3=BB_8979142929,"bb3=BB_8979142929 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.549","cos=0.549, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null,0.5490528049410516
ZSH-0037,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb4=BB_2197995887,"bb4=BB_2197995887 mimics sorafenib (MEK RAF multikinase) - rank-1 control match, cos 0.547","cos=0.547, p=0.000 vs 200-draw gene-label-permutation null",sorafenib,MEK_RAF_multikinase,weak_null;singleton,0.5472095295210653
ZSH-0038,level_control_mimicry,hypothesis_strong,B,zel024_hek293,bb3=BB_4560745800,"bb3=BB_4560745800 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.543","cos=0.543, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null,0.5432761454035904
ZSH-0039,level_control_mimicry,hypothesis_strong,B,zel039_aec7,bb2=BB_0318532484,"bb2=BB_0318532484 mimics Capmatinib (ALK MET inhibitor) - rank-1 control match, cos 0.538","cos=0.538, p=0.000 vs 200-draw gene-label-permutation null",Capmatinib,ALK_MET_inhibitor,weak_null,0.5376369762184614
ZSH-0040,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb3=BB_5913790006,"bb3=BB_5913790006 mimics HTH-01-015 (HSF1 heat shock validated) - rank-1 control match, cos 0.536","cos=0.536, p=0.000 vs 200-draw gene-label-permutation null",HTH-01-015,HSF1_heat_shock_validated,weak_null;singleton,0.5359046543642207
ZSH-0041,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb3=BB_7276621276,"bb3=BB_7276621276 mimics HTH-01-015 (HSF1 heat shock validated) - rank-1 control match, cos 0.534","cos=0.534, p=0.000 vs 200-draw gene-label-permutation null",HTH-01-015,HSF1_heat_shock_validated,weak_null;singleton,0.5342011674687382
ZSH-0042,level_control_mimicry,hypothesis_strong,B,zel024_hek293,bb2=BB_5290020531,"bb2=BB_5290020531 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.533","cos=0.533, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null,0.5333298627678864
ZSH-0043,level_control_mimicry,hypothesis_strong,B,zel024_hek293,bb3=BB_7553096473,"bb3=BB_7553096473 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.526","cos=0.526, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null,0.5255927177561589
ZSH-0044,level_control_mimicry,hypothesis_strong,B,zel039_aec7,bb2=BB_3217225768,"bb2=BB_3217225768 mimics Capmatinib (ALK MET inhibitor) - rank-1 control match, cos 0.522","cos=0.522, p=0.000 vs 200-draw gene-label-permutation null",Capmatinib,ALK_MET_inhibitor,weak_null,0.5215420265803161
ZSH-0045,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb4=BB_7622047569,"bb4=BB_7622047569 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.521","cos=0.521, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null;singleton,0.5212541874606973
ZSH-0046,level_control_mimicry,hypothesis_strong,B,zel024_hek293,bb3=BB_6048600856,"bb3=BB_6048600856 mimics ZF135/MRTX-1719 (Unknown/Other) - rank-1 control match, cos 0.517","cos=0.517, p=0.000 vs 200-draw gene-label-permutation null",ZF135/MRTX-1719,Unknown/Other,weak_null,0.5174594951900608
