context,position,bb_id,n_carriers,in_sar_window,coherence,coherence_z,coherence_p,sparse_coherence,sparse_coherence_z,sibling_max_cos,sibling_max_sparse_j,sparse_falloff,effect_strength_l2,top20_gene_energy_fraction,delta_frac_deep_depth_tier,driver_genes_up,driver_genes_down,is_positive_control,sparse_composite_score,coherence_p_permutation,sparse_rank,within_candidate_chemical_coherence,ring1_phenotype_correlation,ring3_phenotype_correlation,falloff,falloff_null_percentile
zel039_aec7,bb2,BB_1564494047,409,0,0.0665086135268211,3.4747305961690915,0.0099009900990099,0.0535288524716508,26.156348398387216,0.6482289433479309,0.1511627906976744,0.8488372093023255,1.7244555950164795,0.1529533416032791,0.0154773259189966,"MMP1,RPL5,CXCL8,IER3,TIPARP,UBC,CASP4,MT-CO1,GNAS,PSMA1,PHLDA1,RPS11,RPS29,ZFAND2A,OOEP","HSPA5,EEF2,NUCB2,COX5A,HSP90B1,MANF,TAGLN2,PPIB,CD59,IGFBP1,SPARC,LAMA4,GPX1,PDIA6,OST4",False,22.20248178002636,0.0100990099009901,56,,,,,
zel039_aec7,bb2,BB_3217225768,413,0,0.0995091497898101,6.556883258643939,0.0099009900990099,0.0545503938475716,29.21488930952328,0.3972167372703552,0.2422360248447205,0.7577639751552795,1.721281886100769,0.1628294438123703,0.0821432032433631,"GSTP1,UQCRQ,SNRPD2,RPL35,RPL37,RPS21,LGALS1,RPL36,RPS29,RPS2,RPS18,RPL38,COX5A,RPS28,RPL10","C16orf95,APP,SLC39A14,AC244102.4,CANX,EEF2,LINC00486,CALR,FP236383.3,SWAP70,PDIA3,ITGB1,TMED2,PDIA6,FN1",False,22.13799065690584,0.01,57,,,,,
zel039_aec7,bb1,BB_2781176118,460,0,0.8048708438873291,73.51189009859335,0.0099009900990099,0.1161240158130417,35.11363699793585,0.9731342792510986,0.3698630136986301,0.6301369863013699,7.151943683624268,0.0711329653859138,-0.2969230142532155,"RPLP2,TMSB10,RPS19,RPL35A,TMSB4X,RPLP1,S100A6,RPS13,RPL27A,LGALS1,RPS12,RPS29,RPS21,AC004540.1,RPL30","C16orf95,LINC00486,HSP90B1,SLC39A14,ITGB1,IGFBP1,HSP90AA1,UBC,MALAT1,CANX,GNAS,PRNP,DPM1,HLA-E,APP",False,22.12640139595958,0.0099009900990099,58,,,,,
zel039_aec7,bb1,BB_8930974984,473,0,0.6872622966766357,63.92457711594231,0.0099009900990099,0.0642346853879359,30.74048957471057,0.97655588388443,0.2903225806451613,0.7096774193548387,6.651002407073975,0.0591279678046703,0.3696593922179674,"C16orf95,SLC39A14,RALA,MT-RNR2,ITGB1,LINC00486,HSP90AB1,ANXA1,HSP90AA1,APP,NPM1,EMP1,APLP2,MALAT1,TPM3","RPS14,RPS19,TMSB10,SGCD,RPLP2,FTL,RPS6,AC004540.1,LRRC75A,CRIM1-DT,MED30,TMEM232,SDCBP2,MSMP,FTLP3",False,21.81583131108492,0.0099009900990099,59,,,,,
zel039_aec7,bb1,BB_7150492135,439,0,0.8635315299034119,77.42238671037823,0.0099009900990099,0.0862232564440134,33.78472832135638,0.9801079034805298,0.3605442176870748,0.6394557823129252,7.989706039428711,0.0725240334868431,-0.3057127537798075,"TMSB10,RPS29,TMSB4X,RPLP1,RPS19,AC004540.1,RPS3,ADA,RPS21,RPS18,FTH1,RPS13,RPL41,RPLP2,LINC02762","LINC00486,SLC39A14,C16orf95,HSP90B1,APP,ITGB1,PRNP,HSPA8,HSPA5,PABPC1,CANX,GNAS,APLP2,RPS7,EEF2",False,21.603839878962585,0.0099009900990099,60,,,,,
zel039_aec7,bb1,BB_1759915366,467,0,0.6257481575012207,53.42748480432083,0.0099009900990099,0.0552729762914456,27.922869725741336,0.957291543483734,0.2269938650306748,0.7730061349693251,4.842361927032471,0.068789854645729,-0.2677590630382448,"FTH1,FTL,S100A6,RPS13,BEST1,RPLP1,LGALS1,RPS21,RPL11,AC004540.1,MT1X,MAP1LC3A,PHYH,MMP1,RPL30","C16orf95,SLC39A14,IGFBP1,LINC00486,PRNP,DPM1,AC243919.1,NDUFA1,MANF,DSTN,GAS5,SF3B5,ROMO1,TBCA,ARPC2",False,21.58454960394729,0.0099009900990099,61,,,,,
zel039_aec7,bb1,BB_1748751977,470,0,0.8693885207176208,76.638888863093,0.0099009900990099,0.1212046789875169,39.02719632432918,0.9829007387161256,0.4492753623188406,0.5507246376811594,9.155275344848633,0.0619562044739723,0.5189419256172747,"C16orf95,SLC39A14,HSP90B1,EIF4A2,SERPINE1,HSP90AB1,MALAT1,KLF6,HSPA5,LINC00486,POSTN,HDLBP,FN1,HNRNPDL,EEF2","RPS21,TMSB10,RPL35A,RPLP2,FTL,RPS19,RPLP1,RPL27A,RPS29,RPL41,TMSB4X,RPL37A,RPS18,ATP5MF,FTH1",False,21.493238555427663,0.0099009900990099,62,,,,,
zel039_aec7,bb2,BB_7987591949,414,0,0.0436240211129188,2.3157472887904005,0.01,0.048380157378971,23.75736893541967,0.2648045420646667,0.1123595505617977,0.8876404494382022,1.2817907333374023,0.186128482222557,0.0593571789834994,"PSAP,APP,HSP90AA1,PRNP,MRFAP1,FP236383.3,HSPD1,ST13,SEC61G,ITGB1,HSPA8,ZFAND2A,NACA,DNAJB1,PTGR1","MT2A,IGFBP1,GAS5,CAV1,CUL3,RPS11,ANXA2,MRPL17,ATP5MG,TMSB10,MYL12A,TAF1D,TSC22D3,ZFAS1,S100A10",False,21.088001639305094,0.0112871287128712,63,,,,,
zel039_aec7,bb2,BB_3624989023,360,0,0.1239000335335731,9.560279593478851,0.0099009900990099,0.0847522497335419,28.279288806161556,0.9313982129096984,0.2658227848101265,0.7341772151898734,4.600375652313232,0.0711430013179779,-0.076270840340172,"RPS14,RPS3,LGALS1,RPS21,MT1X,FTH1,TMSB10,RPS16,RPS18,S100A6,RPS19,PPP2R5C,RPL37A,RPL35A,H2AJ","APP,CANX,EEF2,SLC39A14,LINC00486,ITGB1,MALAT1,C16orf95,SWAP70,CALR,MCAM,APLP2,AC244102.4,SQSTM1,CD59",False,20.76200950325785,0.0099009900990099,64,,,,,
zel039_aec7,bb1,BB_9630095191,474,0,0.7487684488296509,71.91194089948326,0.0099009900990099,0.1019951960232424,36.93303296950843,0.9820293188095092,0.4388489208633093,0.5611510791366907,6.482550621032715,0.0921323224902153,0.4061131259045537,"SLC39A14,C16orf95,LINC00486,AC244102.4,MALAT1,HSP90B1,HSPA5,EIF4A2,APP,CANX,SERPINE1,HDLBP,NAP1L1,PRNP,HSP90AB1","TMSB10,RPS21,TMSB4X,RPLP2,RPLP1,RPS15P4,RPS19,RPS13,RPL6P27,FTH1,RPL41,SLC26A3,RPS3,S100A6,RPL21P16",False,20.725011306630638,0.0099009900990099,65,,,,,
zel039_aec7,bb2,BB_9734057272,399,0,0.0712190568447113,4.8166160559558415,0.0099009900990099,0.0482789757338277,24.63124836675104,0.5591601133346558,0.1627906976744186,0.8372093023255813,1.463233232498169,0.2006286680698394,0.0096314152989256,"S100A10,SH3BGRL3,VIM,RPLP0,LGALS1,IFITM3,SERF2,TMSB10,NACA,PTX3,RPL32,RPL41,IFI27,ICAM2,FTH1","SLC39A14,C16orf95,APP,AC244102.4,LINC00486,MALAT1,FP236383.3,SWAP70,EEF2,RPL5,ERP29,PCAT1,PDIA3,GNG11,PSAP",False,20.62151026053575,0.0100990099009901,66,,,,,
zel039_aec7,bb2,BB_4958727004,397,0,0.0601384118199348,4.066558231050189,0.0099009900990099,0.0479387805534812,24.93989689566171,0.6015738248825073,0.1976047904191616,0.8023952095808383,1.515317440032959,0.1757098883390426,0.0316006961837574,"RPS24,LGALS1,MT2A,COMMD6,MYL12B,VIM,CDK2AP2,YIF1A,RPL37A,PLEKHA7,IFI27,CRIP2,EIF1,RPL41,RPL35A","APP,SLC39A14,CANX,HSP90AB1,MALAT1,C16orf95,HSPA8,EEF2,ITGB1,LINC00486,APLP2,FN1,EMP1,NAP1L1,P4HB",False,20.011653796518974,0.0101980198019801,67,,,,,
zel039_aec7,bb1,BB_0787221251,467,0,0.7595686912536621,66.87050612033235,0.0099009900990099,0.1201775319607976,34.234061520110615,0.9792132377624512,0.4388489208633093,0.5611510791366907,7.139857769012451,0.0833055302500724,0.4602923288247102,"SLC39A14,C16orf95,MALAT1,LINC00486,APP,PRNP,ITGB1,HSP90B1,NAP1L1,AC244102.4,HSPA5,HSP90AA1,APLP2,CANX,EMP1","TMSB10,RPLP2,FTH1,RPLP1,RPS29,TMSB4X,RPS19,LGALS1,RPS18,RPS21,RPL27A,RPS12,RPL37A,RPS3,RPL35A",False,19.21048056524193,0.0099009900990099,68,,,,,
zel039_aec7,bb1,BB_8064768238,459,0,0.8095453977584839,70.15749890306978,0.0099009900990099,0.0818344759084187,28.055795437297714,0.9732199311256408,0.3157894736842105,0.6842105263157895,6.999435424804688,0.069899782538414,-0.2989832586408256,"TMSB10,RPLP2,TMSB4X,RPLP1,RPS21,RPL35A,FTH1,RPS19,RPL27A,RPL41,RPS18,S100A6,RPS3,RPL37A,UQCC2","C16orf95,SLC39A14,LINC00486,IGFBP1,PRNP,ITGB1,HSP90B1,MALAT1,EMP1,HSPA5,APLP2,APP,EIF3E,BTF3,PGD",False,19.196070562361594,0.0099009900990099,69,,,,,
