context,bb_pair_id,n_members,within_phenotype_coherence,within_candidate_chemical_coherence,ring1_phenotype_correlation,ring2_phenotype_correlation,ring3_phenotype_correlation,falloff,null_falloff_mean,null_falloff_sd,falloff_null_percentile
zel024_hek293,bb1=BB_6601289516 & bb3=BB_3389989535,24,0.625857412815094,0.98087477684021,0.0585530325770378,0.1564444303512573,0.0311117433011531,0.5673043802380562,-0.1279057398010513,0.2107167017729877,1.0
zel024_hek293,bb1=BB_2686618432 & bb3=BB_9407612552,24,0.5848014950752258,0.9878299236297609,0.3271728157997131,-0.1182333007454872,-0.0315592512488365,0.2576286792755127,-0.1765059050107083,0.202225021212331,1.0
zel024_hek293,bb1=BB_8232087379 & bb3=BB_1619714190,24,0.5148749947547913,0.9757117629051208,0.3121076226234436,0.2631476819515228,0.1932087689638137,0.2027673721313476,-0.1477596095613262,0.188146153240773,0.97
zel024_hek293,bb2=BB_3472530680 & bb3=BB_5443714227,84,0.2831477224826813,0.9397437572479248,0.4080972671508789,0.1725529730319976,0.066890001296997,-0.1249495446681976,-0.0971493313844257,0.1961194356992642,0.36
zel024_hek293,bb1=BB_8232087379 & bb3=BB_5272889191,24,0.5967907905578613,0.975403368473053,0.3399248123168945,0.2189893275499344,0.1685936450958252,0.2568659782409668,-0.1710572636517463,0.1705860737602842,0.99
zel024_hek293,bb1=BB_6601289516 & bb3=BB_7600457365,24,0.4888530075550079,0.9819469451904296,-0.1083005219697952,0.0440773330628871,0.0529876574873924,0.5971535295248032,-0.135484656106928,0.2053469352239555,1.0
zel024_hek293,bb1=BB_2686618432 & bb3=BB_8459495534,24,0.4893772900104522,0.98165762424469,0.3619451820850372,0.1837278604507446,0.1486958265304565,0.127432107925415,-0.1426714005450048,0.1752205241011616,0.95
zel024_hek293,bb1=BB_2686618432 & bb3=BB_9932753009,24,0.3943514227867126,0.9811931252479552,0.1873932778835296,0.0455420389771461,0.0701274275779724,0.2069581449031829,-0.1561566128893173,0.2117942445442271,0.96
zel024_hek293,bb1=BB_6601289516 & bb3=BB_8090408280,24,0.6515218615531921,0.9816434383392334,0.5128868222236633,0.4445887804031372,0.318349152803421,0.1386350393295288,-0.142921457120392,0.2056330973319598,0.91
zel024_hek293,bb2=BB_5290020531 & bb3=BB_8979142929,84,0.3423158526420593,0.957715392112732,0.3310875296592712,0.080567330121994,-0.091732457280159,0.011228322982788,-0.0493179093429353,0.1428836811612883,0.67
zel024_hek293,bb1=BB_6601289516 & bb3=BB_6235533440,24,0.6260274052619934,0.9805757999420166,0.3177515268325805,0.4790593981742859,0.5185315608978271,0.3082758784294128,-0.1387523568654433,0.2113457602244631,0.99
zel024_hek293,bb1=BB_8873714086 & bb3=BB_2672352977,24,0.768218457698822,0.9767757058143616,0.6910395622253418,0.6411656141281128,0.6251329183578491,0.0771788954734802,-0.1204638026599423,0.2118410220066159,0.85
zel024_hek293,bb2=BB_3472530680 & bb3=BB_1630146909,84,0.2846821844577789,0.949719488620758,0.322988212108612,0.133072018623352,0.006479715462774,-0.0383060276508331,-0.0330042195043643,0.1947767429137369,0.47
zel024_hek293,bb1=BB_2686618432 & bb3=BB_5330967050,24,0.5024455785751343,0.98194020986557,0.3051891624927521,0.103172518312931,0.0498529486358165,0.1972564160823822,-0.1527769572905526,0.2055357523856965,0.95
zel024_hek293,bb1=BB_4347926671 & bb3=BB_8066226507,24,0.6346353888511658,0.9351900815963744,0.3068016469478607,0.4375666081905365,0.3019987046718597,0.327833741903305,-0.158219104674572,0.2034651845313805,0.99
zel024_hek293,bb1=BB_2686618432 & bb3=BB_9420008587,24,0.4438962936401367,0.9869449138641356,0.3049171566963196,0.1176992580294609,0.0415229052305221,0.1389791369438171,-0.1692394221352879,0.2080519821424933,0.94
