context,split_seed,n_acquisition_batches,n_subsets,mean_median_gene_pearson,min_median_gene_pearson,max_median_gene_pearson,mean_median_program_pearson,min_median_program_pearson,max_median_program_pearson
zic008_aec7,20260915,5,56,0.6147938847984067,0.5649299306279132,0.6612622145678991,0.886701145301739,0.8429928731991945,0.9241129500997703
zic008_aec7,20260915,6,28,0.6319689617874699,0.5986075289447659,0.6699485882432563,0.8931779988257726,0.8547313285083233,0.9129658747271326
zic008_aec7,20260915,7,8,0.645425082680224,0.6280459978655893,0.664017824409246,0.8980522910989193,0.8680678277051614,0.9124855818920854
zic008_aec7,20260915,8,1,0.6565691322837018,0.6565691322837018,0.6565691322837018,0.909405874913009,0.909405874913009,0.909405874913009
zic008_aec7,20260916,1,8,0.43739786614605114,0.3780191440708036,0.49964411117012114,0.8351171990033973,0.7898946550724129,0.9070174935697424
zic008_aec7,20260916,2,28,0.543262645774972,0.48490618371394717,0.5859984150127885,0.8937209194977669,0.843532219163555,0.9361376316545174
zic008_aec7,20260916,3,56,0.5981784945614602,0.547661520827369,0.6347640816690184,0.9173694068787513,0.8815632775950731,0.9491731478463928
zic008_aec7,20260916,4,70,0.6335729938610104,0.598182080735009,0.6574354733463332,0.9304855980625047,0.9035888378215233,0.9535379341580572
zic008_aec7,20260916,5,56,0.6588176522522495,0.631976720834184,0.6771585040482174,0.9383420266034105,0.9190426114133076,0.9619534283718582
zic008_aec7,20260916,6,28,0.6771718186808882,0.6590212031642334,0.6893238263694126,0.9438413116122597,0.9249086095922836,0.9578774941545749
zic008_aec7,20260916,7,8,0.6910006646569258,0.6785385831059992,0.6980895809827081,0.9481922629822502,0.9404595401492544,0.9533505531180301
zic008_aec7,20260916,8,1,0.7016665238908689,0.7016665238908689,0.7016665238908689,0.952359049646646,0.952359049646646,0.952359049646646
zic008_aec7,20260917,1,8,0.41917456931831676,0.18605680221561705,0.5030875572022804,0.7883370293048428,0.5372164577272145,0.9043201399594417
zic008_aec7,20260917,2,28,0.5179738971234346,0.31503660953824847,0.6093648336198969,0.8627615041457445,0.726532909902424,0.9334580401506338
zic008_aec7,20260917,3,56,0.5752068706194933,0.4366710679694645,0.6915829391490204,0.9008795164655219,0.8337227647191441,0.9462187741660536
zic008_aec7,20260917,4,70,0.6142299662272963,0.5160092442949408,0.7184332195969979,0.9204594321565316,0.8741232706573685,0.9488402935517226
zic008_aec7,20260917,5,56,0.6502662186264633,0.5906987143424702,0.7400254902244103,0.9342656474044325,0.9069579311379348,0.9554347835447348
zic008_aec7,20260917,6,28,0.6764770198227767,0.6383781400135881,0.7521492157303251,0.9416968871153025,0.9251001676030823,0.9542472371257322
zic008_aec7,20260917,7,8,0.6954949627199511,0.6802053298241045,0.7537536507545959,0.9436257589736462,0.9338237646484201,0.9496598663238532
zic008_aec7,20260917,8,1,0.713110312598457,0.713110312598457,0.713110312598457,0.9444323026065282,0.9444323026065282,0.9444323026065282
zic008_aec7,20260918,1,8,0.41936401658660066,0.18139929283377598,0.48881078582100357,0.8016835375138074,0.560043443835377,0.8601713289265768
zic008_aec7,20260918,2,28,0.5109128208271657,0.30212736913796484,0.5997393989258126,0.8696942880861299,0.7749276031959471,0.916937953279806
zic008_aec7,20260918,3,56,0.5628252758614446,0.41379141585493984,0.6669109863560683,0.9031342676181037,0.8601112788412656,0.9328465639647686
zic008_aec7,20260918,4,70,0.5994129859207928,0.503693292103442,0.6913850409272398,0.9197033870073442,0.8820116015816191,0.9443447615352686
zic008_aec7,20260918,5,56,0.6281748581797314,0.5651415353694423,0.7129358276259886,0.9311541068018686,0.9055642906573195,0.9441971066609223
zic008_aec7,20260918,6,28,0.6530141470402105,0.6234159894008107,0.723054372408579,0.9393244731260214,0.9268376721867222,0.951575878324476
zic008_aec7,20260918,7,8,0.6729299258251935,0.6629143339320849,0.7151548510690908,0.9437451108508703,0.9369884076667944,0.9498356495420904
zic008_aec7,20260918,8,1,0.6906966026467432,0.6906966026467432,0.6906966026467432,0.9476039824789169,0.9476039824789169,0.9476039824789169
zic008_aec7,20260919,1,8,0.4149709378306131,0.19090469097239088,0.4917937790351752,0.8192775379705007,0.6044341008769054,0.9257487403691187
zic008_aec7,20260919,2,28,0.509747677518262,0.30106046304938705,0.6187135469147215,0.8819391728303544,0.7796978134421837,0.9526454372556638
zic008_aec7,20260919,3,56,0.5613380188822905,0.4154889920403037,0.67467165981985,0.9173786520314773,0.8599725138009565,0.9596723502387946
zic008_aec7,20260919,4,70,0.6012968947372314,0.5068881472066459,0.6995992895756762,0.9338596260915261,0.8924666619522399,0.9622086158312794
zic008_aec7,20260919,5,56,0.6332417700615703,0.5735755020528597,0.7240433847080187,0.9434778946009847,0.9041880770450462,0.9636590261413447
zic008_aec7,20260919,6,28,0.6595977867791972,0.6302813349444766,0.7321189268473567,0.9498265081809404,0.9277707103925045,0.9627718231288538
zic008_aec7,20260919,7,8,0.6815728207395516,0.6657576131529539,0.7164126432329073,0.9545868372031213,0.9439373880194444,0.9635881197690164
zic008_aec7,20260919,8,1,0.6993076550508469,0.6993076550508469,0.6993076550508469,0.9544464276273444,0.9544464276273444,0.9544464276273444
zic008_aec7,20260920,1,8,0.41998540552470287,0.1853879755015452,0.5116846417442295,0.7798838470573557,0.54128579153007,0.8857302447864637
zic008_aec7,20260920,2,28,0.5045452323858314,0.2762317014510047,0.6412536003568143,0.8604461765424949,0.5380452379570947,0.9448822903582573
zic008_aec7,20260920,3,56,0.560928766848207,0.37218435973850456,0.6984048005925595,0.8965338377518052,0.6876913467669269,0.9568715014239599
zic008_aec7,20260920,4,70,0.6006840158027161,0.45385095731608477,0.7284762763088855,0.9211491514348153,0.8194596951447354,0.9657057136109232
zic008_aec7,20260920,5,56,0.6327374375099872,0.540867281866525,0.746328727674646,0.9347955330143803,0.8662715842946979,0.9681308589372724
zic008_aec7,20260920,6,28,0.6590384325462774,0.601888054344675,0.7492760218571495,0.9448790102129612,0.9164067755590519,0.9674591676443103
zic008_aec7,20260920,7,8,0.6808836528592008,0.6584648565613421,0.7456527737556765,0.9529523656427026,0.943470634525902,0.9665014824798074
zic008_aec7,20260920,8,1,0.69370760148228,0.69370760148228,0.69370760148228,0.9606267566496941,0.9606267566496941,0.9606267566496941
zic008_aec7,20260921,1,8,0.4342777900214928,0.3940808503236873,0.5163357693294436,0.8205417455144175,0.7739276641030173,0.866109472325195
zic008_aec7,20260921,2,28,0.5294126701773453,0.48369205011123084,0.5978566241980242,0.8802740629634994,0.8256787311367629,0.9157709422796091
zic008_aec7,20260921,3,56,0.5822954615688121,0.5315000107609098,0.6357976321393438,0.9064160721072084,0.8532319594883634,0.9530758075276302
zic008_aec7,20260921,4,70,0.6162375566328144,0.5772607625693221,0.6523100273978812,0.9217220660345922,0.881606607902335,0.9525664722513848
zic008_aec7,20260921,5,56,0.6409857293791938,0.6075812696745312,0.6650367360529617,0.9328594232404555,0.9047891390330856,0.9544042923158848
