role,public_compound_id,program,raw_core_usage,standardized_core_usage,standardized_family_median,context_program_median,context_program_standard_deviation
response_family,CPD_834100682076,P27,-4.853438854217529,-0.8496503012976757,-0.8480723761406054,0.06501651555299759,5.78879965352633
response_family,CPD_834100682076,P28,9.348348617553711,0.9483395453057086,0.6775733247305904,-0.17586177587509155,10.0430383195278
response_family,CPD_834100682076,P29,-4.067041397094727,-0.8030566953744794,-0.643138698117061,0.049055103212594986,5.125536620285462
response_family,CPD_834100682076,P30,3.506580114364624,0.43487200582738805,0.6830406025020556,-0.16338704526424408,8.439189256724823
response_family,CPD_834100682076,P31,10.017178535461426,0.7351198153491948,0.6195252364408684,-0.6650799810886383,14.53131624737364
response_family,CPD_834100682076,P32,24.407419204711914,0.8132291060849558,0.5701873693292796,1.0772752165794373,28.68827961710367
comparator_family,CPD_984699400763,P01,3.6897966861724854,0.7587547363067672,0.16683653046937935,-0.11766580864787102,5.018041156952971
comparator_family,CPD_984699400763,P02,-3.403965950012207,-0.8459543473567575,-0.008443609177258195,-0.1352900192141533,3.8638916402655257
comparator_family,CPD_984699400763,P03,2.1364033222198486,0.6497228027377571,0.16153899438302674,-0.05226873978972435,3.3686243622466345
comparator_family,CPD_984699400763,P04,0.018808813765645027,0.027632473234048667,0.14742734161598842,-0.10820133611559868,4.596409044006315
comparator_family,CPD_984699400763,P05,-0.24679674208164215,-0.021215628879974285,0.038822464368065246,-0.1440722867846489,4.841923653460786
comparator_family,CPD_984699400763,P06,-0.44129708409309387,-0.043126388048214545,-0.07699525033594326,-0.2451346516609192,4.5485476829839895
comparator_family,CPD_984699400763,P07,-4.581505298614502,-0.9364679530200724,-0.3213019262286,0.2691248804330826,5.179707606015233
comparator_family,CPD_984699400763,P08,3.252826690673828,0.8046407799169392,0.3144591336485555,-0.23749426007270813,4.337738078732267
comparator_family,CPD_984699400763,P09,0.6595315337181091,0.14515321829150762,0.038779604074893524,0.028464973904192448,4.347589169856098
comparator_family,CPD_984699400763,P10,-1.6178826093673706,-0.42778301013135595,-0.04568731442211106,0.10616666451096535,4.030195760577181
comparator_family,CPD_984699400763,P11,-4.821917533874512,-0.8172811215009163,0.030663675155530895,-0.07999473810195923,5.802070635210722
comparator_family,CPD_984699400763,P12,1.7257837057113647,0.4375299272668251,-0.04433196466677133,-0.31981681287288666,4.6753385108140355
comparator_family,CPD_984699400763,P13,1.7308597564697266,0.2982845592445981,0.1254404832156567,-0.24608966708183289,6.627729670480292
comparator_family,CPD_984699400763,P14,0.5160198211669922,0.1372103278620644,0.15128404818644264,-0.13461945205926895,4.741911803318038
comparator_family,CPD_984699400763,P15,4.727323055267334,0.6757714943153045,-0.016320557077117194,-0.4245503693819046,7.6236915406873536
comparator_family,CPD_984699400763,P16,0.26114436984062195,0.16469526743167548,0.19442909121505236,-1.156401515007019,8.607083293609003
comparator_family,CPD_984699400763,P17,3.117518424987793,0.3236408213538184,-0.01414547795897883,0.7709555625915527,7.250515718568376
comparator_family,CPD_984699400763,P18,-3.4254746437072754,-0.6680616492230022,-0.02134111970574197,-0.00971299223601818,5.112943776138031
comparator_family,CPD_984699400763,P19,-3.170940399169922,-0.6011738417730862,0.04474213069701029,-0.13910848647356033,5.0431866824982885
comparator_family,CPD_984699400763,P20,0.9673022627830505,0.03517997884395527,-0.2108438119029442,0.6276896297931671,9.653576953422094
comparator_family,CPD_984699400763,P21,-4.915747165679932,-0.4325104975169373,-0.009110643742964143,-0.1261500120162964,11.073944288429837
comparator_family,CPD_984699400763,P22,3.668891191482544,0.7242377865458485,0.015639954413721652,0.10750625282526016,4.9174249187450085
comparator_family,CPD_984699400763,P23,9.983104705810547,1.166053318375308,0.22471468479690382,-0.48491865396499634,8.977311067010993
comparator_family,CPD_984699400763,P24,-4.316135883331299,-0.4780162220709529,0.08981116844573678,-0.6264453828334808,7.718755829065043
comparator_family,CPD_984699400763,P25,3.2442374229431152,0.642029202174575,-0.003602041973145033,-0.05510636419057846,5.1389310267487875
comparator_family,CPD_984699400763,P26,-1.6998010873794556,-0.3345417475975683,-0.03791783191059085,0.3093164563179016,6.005580942065842
comparator_family,CPD_984699400763,P27,-4.883815765380859,-0.8548978332527375,-0.03502803195267063,0.06501651555299759,5.78879965352633
comparator_family,CPD_984699400763,P28,0.5843384861946106,0.07569425087142802,-0.003111032473978036,-0.17586177587509155,10.0430383195278
comparator_family,CPD_984699400763,P29,0.007255782373249531,-0.00815511114951657,-0.030312247090316477,0.049055103212594986,5.125536620285462
comparator_family,CPD_984699400763,P30,-3.8098106384277344,-0.4320822157481317,0.13676501513794398,-0.16338704526424408,8.439189256724823
comparator_family,CPD_984699400763,P31,4.003284931182861,0.3212623572978291,-0.08686956569353951,-0.6650799810886383,14.53131624737364
