target_gene,n_compounds_hit,hub_frac,hub_flag
ABCD1,51,0.0003128815160643186,specific
ABCD2,226,0.001386494561383059,specific
ABCD3,178,0.0010920178403813474,specific
ABCD4,122,0.0007484616658793504,specific
ABCE1,5795,0.03555192912926915,hub_generic_stress
ABCF1,921,0.005650272084220342,frequent
ABCF2,2007,0.012312807896884069,hub_generic_stress
ABCF3,634,0.003889546689897608,frequent
ABCG1,466,0.002858878166391617,specific
ABCG2,239,0.0014662486733210225,specific
ABCG4,174,0.0010674781136312047,specific
ABCG5,139,0.0008527555045674567,specific
ABCG8,137,0.0008404856411923853,specific
ABHD1,674,0.0041349439573990345,frequent
ABHD10,223,0.001368089766320452,specific
ABHD11,645,0.0039570309384605006,frequent
ABHD12,520,0.003190164477518543,frequent
ABHD12B,344,0.002110416500512267,specific
ABHD13,558,0.003423291881644898,frequent
ABHD14A,242,0.0014846534683836295,specific
ABHD14B,321,0.0019693130716989466,specific
ABHD15,110,0.0006748424856289225,specific
ABHD16A,462,0.0028343384396414747,specific
ABHD16B,264,0.001619621965509414,specific
ABHD17A,779,0.004779111784590279,frequent
ABHD17B,288,0.0017668603260102699,specific
ABHD17C,292,0.0017914000527604124,specific
ABHD18,467,0.002865013098079153,specific
ABHD2,652,0.003999975460273249,frequent
ABHD3,751,0.00460733369733928,frequent
ABHD4,423,0.0025950761038275837,specific
ABHD5,450,0.002760719259391047,specific
ABHD6,273,0.001674836350697235,specific
ABHD8,608,0.0037300384660216806,frequent
ABI1,531,0.003257648726081435,frequent
ABI2,569,0.00349077613020779,frequent
ABI3,244,0.0014969233317587009,specific
ABI3BP,137,0.0008404856411923853,specific
ABITRAM,4468,0.027410874779909326,hub_generic_stress
ABL1,348,0.0021349562272624093,specific
ABL2,243,0.0014907884000711653,specific
ABLIM1,210,0.0012883356543824883,specific
ABLIM2,127,0.0007791363243170287,specific
ABLIM3,399,0.002447837743326728,specific
ABO,180,0.0011042877037564186,specific
ABR,68,0.00041717535475242485,specific
ABRA,267,0.001638026760572021,specific
ABRACL,253,0.0015521377169465218,specific
ABRAXAS1,312,0.0019140986865111257,specific
ABRAXAS2,342,0.0020981466371371954,specific
ABT1,827,0.0050735885055919906,frequent
ABTB1,190,0.0011656370206317753,specific
ABTB2,455,0.002791393917828725,specific
ABTB3,546,0.00334967270139447,frequent
AC015871.1,534,0.003276053521144042,frequent
AC118549.1,1820,0.0111655756713149,hub_generic_stress
ACAA1,276,0.001693241145759842,specific
ACAA2,413,0.0025337267869522274,specific
ACACA,468,0.0028711480297666887,specific
ACACB,168,0.0010306685235059907,specific
ACAD10,446,0.002736179532640904,specific
ACAD11,1515,0.009294421506616524,frequent
ACAD8,392,0.0024048932215139786,specific
ACAD9,493,0.00302452132195508,frequent
ACADL,307,0.0018834240280734475,specific
ACADM,378,0.002319004177888479,specific
ACADS,750,0.004601198765651744,frequent
ACADSB,190,0.0011656370206317753,specific
ACADVL,515,0.0031594898190808645,frequent
ACAN,302,0.0018527493696357691,specific
ACAP1,269,0.0016502966239470924,specific
ACAP2,291,0.0017852651210728768,specific
ACAP3,122,0.0007484616658793504,specific
ACAT1,402,0.002466242538389335,specific
ACAT2,741,0.004545984380463924,frequent
ACBD3,329,0.0020183925251992317,specific
ACBD4,206,0.0012637959276323458,specific
ACBD5,711,0.004361936429837854,frequent
ACBD6,395,0.0024232980165765855,specific
ACBD7,351,0.0021533610223250163,specific
ACCS,2260,0.01386494561383059,hub_generic_stress
ACCSL,221,0.0013558199029453807,specific
ACD,482,0.0029570370733921878,specific
ACE,200,0.0012269863375071318,specific
ACE2,317,0.001944773344948804,specific
