rank,family_id,target_gene,family_size,family_max_z,family_evidence,public_compound_id,best_z,tier,contexts,kd_flag_weak,is_family_representative,n_contexts,family_contexts,total_family_size,hub_flag,kd_delta_median,mean_top3_z,replication_factor,composite_score
75,NF23,CDC6,4,7.34,recipe,CPD_101660003801,5.68,C_moderate,zel024_h1650,False,False,1,zel024_h1650,155,frequent,-1.32,6.407,1.0,3.857
76,NF23,CDC6,4,7.34,recipe,CPD_047658727509,5.09,C_moderate,zel024_h1650,False,False,1,zel024_h1650,155,frequent,-1.32,6.407,1.0,3.857
77,NF24,CCDC84,3,10.81,recipe,CPD_863780142312,10.81,B_single_context,zel024_h1650,False,True,1,zel024_h1650,136,frequent,-0.419,8.077,1.0,3.854
78,NF24,CCDC84,3,10.81,recipe,CPD_824992644354,7.9,C_moderate,zel024_h1650,False,False,1,zel024_h1650,136,frequent,-0.419,8.077,1.0,3.854
79,NF24,CCDC84,3,10.81,recipe,CPD_336428264018,5.52,C_moderate,zel024_h1650,False,False,1,zel024_h1650,136,frequent,-0.419,8.077,1.0,3.854
80,NF25,SRRM1,3,5.84,recipe,CPD_356259598315,5.84,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-2.227,5.377,1.5,3.848
81,NF25,SRRM1,3,5.84,recipe,CPD_397571670824,5.27,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-2.227,5.377,1.5,3.848
82,NF25,SRRM1,3,5.84,recipe,CPD_516698375439,5.03,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-2.227,5.377,1.5,3.848
83,NF26,KEAP1,3,5.58,recipe,CPD_156105396075,5.58,C_moderate,zel028_hek293,False,True,2,"zel028_a549,zel028_hek293",133,frequent,-1.471,5.366,1.5,3.841
84,NF26,KEAP1,3,5.58,recipe,CPD_086790382164,5.43,C_moderate,zel028_a549,False,False,2,"zel028_a549,zel028_hek293",133,frequent,-1.471,5.366,1.5,3.841
85,NF26,KEAP1,3,5.58,recipe,CPD_827473556155,5.08,C_moderate,zel028_hek293,False,False,2,"zel028_a549,zel028_hek293",133,frequent,-1.471,5.366,1.5,3.841
86,NF27,UBE2I,3,5.62,recipe,CPD_769798767587,5.62,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-2.191,5.358,1.5,3.835
87,NF27,UBE2I,3,5.62,recipe,CPD_621200535515,5.42,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-2.191,5.358,1.5,3.835
88,NF27,UBE2I,3,5.62,recipe,CPD_965251750762,5.04,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-2.191,5.358,1.5,3.835
89,NF28,SH3GL1,3,5.48,recipe,CPD_670604057047,5.48,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-1.087,5.334,1.5,3.818
90,NF28,SH3GL1,3,5.48,recipe,CPD_841959819459,5.34,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.087,5.334,1.5,3.818
91,NF28,SH3GL1,3,5.48,recipe,CPD_806398575580,5.18,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.087,5.334,1.5,3.818
92,NF29,CCDC84,3,10.25,recipe,CPD_061958453143,10.25,B_single_context,zel024_h1650,False,True,1,zel024_h1650,136,frequent,-0.419,7.935,1.0,3.786
93,NF29,CCDC84,3,10.25,recipe,CPD_188629299868,6.97,C_moderate,zel024_h1650,False,False,1,zel024_h1650,136,frequent,-0.419,7.935,1.0,3.786
94,NF29,CCDC84,3,10.25,recipe,CPD_861516967211,6.59,C_moderate,zel024_h1650,False,False,1,zel024_h1650,136,frequent,-0.419,7.935,1.0,3.786
95,NF30,SARS1,3,5.41,recipe,CPD_925271663286,5.41,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-1.688,5.249,1.5,3.756
96,NF30,SARS1,3,5.41,recipe,CPD_816326323194,5.22,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.688,5.249,1.5,3.756
97,NF30,SARS1,3,5.41,recipe,CPD_657399550375,5.12,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.688,5.249,1.5,3.756
98,NF31,IGBP1,4,6.39,recipe,CPD_706009162562,6.39,C_moderate,zel024_h1650,False,True,1,zel024_h1650,155,frequent,-1.53,6.224,1.0,3.747
99,NF31,IGBP1,4,6.39,recipe,CPD_844156660588,6.3,C_moderate,zel024_h1650,False,False,1,zel024_h1650,155,frequent,-1.53,6.224,1.0,3.747
100,NF31,IGBP1,4,6.39,recipe,CPD_637317110588,5.97,C_moderate,zel024_h1650,False,False,1,zel024_h1650,155,frequent,-1.53,6.224,1.0,3.747
101,NF31,IGBP1,4,6.39,recipe,CPD_637367353514,5.48,C_moderate,zel024_h1650,False,False,1,zel024_h1650,155,frequent,-1.53,6.224,1.0,3.747
