public_compound_id,target_gene,contexts_x,n_datasets_scored,n_datasets_top5pct,n_datasets_top1pct,best_percentile,max_cosine,median_percentile,best_dataset_exact,tier,best_z,n_contexts,contexts_y,best_rank,kd_delta_median,kd_flag_weak,contexts,name,moa_class,primary_target,evidence_strength,hub_frac,hub_flag
CPD_768447443426,THAP11,"zel028_a549,zel028_h1650",11,13,8,0.0001772892474071,0.043910264968872,0.03083588842041,zhu_cd4t_stim48hr,B_consensus_strong,9.085223,2.0,"zel028_a549,zel028_h1650",1.0,-0.7930049300193787,False,,,,,strong_multi_dataset,0.0375151072692805,hub_generic_stress
CPD_901567411578,XRN1,"zel031_a549,zel031_thp1",10,13,7,0.0004178854993731,0.2934824824333191,0.0182252271732972,rpe1,B_consensus_strong,8.596299,2.0,"zel031_a549,zel031_thp1",3.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_277949114169,XRN1,"zel024_h1650,zel024_hek293",10,13,6,0.0004178854993731,0.0661461278796196,0.0315323962069584,rpe1,B_consensus_strong,8.461111,2.0,"zel024_h1650,zel024_hek293",1.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_168135774311,ARIH1,"zel028_hek293,zel031_a549,zel039_aec7",10,12,4,0.0045208758088821,0.2046877443790435,0.0903798552162065,zhu_cd4t_stim48hr,,12.001722,3.0,,4.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0242820596192661,hub_generic_stress
CPD_972788665666,CMTR1,"zel031_a549,zel031_thp1",10,12,9,0.0001013581998783,0.1391328573226928,0.0395817535754432,replogle_k562_gwps,B_consensus_strong,11.767434,2.0,"zel031_a549,zel031_thp1",1.0,-0.5717395544052124,False,,,,,strong_multi_dataset,0.0297176090944227,hub_generic_stress
CPD_168135774311,ABCE1,"zel028_hek293,zel031_a549,zel039_aec7",10,12,1,0.0033430839949853,0.3121003806591034,0.0692981094437101,rpe1,,11.331769,3.0,,6.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0355519291292691,hub_generic_stress
CPD_168135774311,CCNA2,"zel028_hek293,zel031_a549,zel039_aec7",10,12,9,8.760402978537013e-05,0.2154967188835144,0.0802794535962811,zhu_cd4t_stim8hr,,10.59627,3.0,,12.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0179753498444794,hub_generic_stress
CPD_930596955388,CHTF18,"zel028_hek293,zel031_a549,zel039_aec7",10,12,1,0.0064826982041173,0.3643295466899872,0.0936063518595904,zhu_cd4t_stim8hr,,10.006545,3.0,,25.0,,,"zel028_hek293,zel031_a549,zel039_aec7",veliparib,PARP_inhibitor,PARP1/PARP2,strong_multi_dataset,0.0069815522604155,frequent
CPD_097241972673,ABCE1,"zel028_hek293,zel031_a549,zel039_aec7",10,12,2,0.0029251984956122,0.3099802732467651,0.0671543278788567,rpe1,,9.947668,3.0,,29.0,,,"zel028_hek293,zel031_a549,zel039_aec7",AZD-7624,Stress_kinase_inhibitor,p38 MAPK (MAPK14),strong_multi_dataset,0.0355519291292691,hub_generic_stress
CPD_908424475140,ABCE1,"zel028_hek293,zel031_a549,zel039_aec7",10,12,1,0.0037609694943585,0.3088112771511078,0.0654700433186382,rpe1,,9.523981,3.0,,15.0,,,"zel028_hek293,zel031_a549,zel039_aec7",derazantinib,FGFR_inhibitor,FGFR1/2/3,strong_multi_dataset,0.0355519291292691,hub_generic_stress
