context,model_variant,fold,seed,n_train,n_val,n_test,prog_pearson_mean,prog_pearson_median,prog_pearson_min,prog_pearson_max,null_mean,null_sd,null_q95,null_tail_frac_ge,above_floor_q95,margin_over_q95,model_hyperparameter
zel039_aec7,mean448_mlp,4,0,10739,1273,2991,0.1232815561818536,0.0993250176058409,-0.0188540498614972,0.3174049286356402,-0.0003341908149549,0.0048508787226074,0.0080176870618743,0.0,True,0.1152638691199793,3.0
zel039_aec7,mean448_mlp,4,1,10739,1273,2991,0.1210398959150514,0.0961752074056472,-0.0115650684439626,0.3033858692954121,-0.0006916585793697,0.0048971249810348,0.0068489234467733,0.0,True,0.114190972468278,6.0
zel039_aec7,mean448_mlp,4,2,10739,1273,2991,0.1211913717510184,0.0996423686025665,-0.030138256765993,0.297973022739891,0.0002942636770029,0.0047919043914319,0.0079843762180644,0.0,True,0.113206995532954,6.0
zel039_aec7,mean448_ridge,0,0,10708,1243,3052,0.1501213167877416,0.1605127974126525,0.027759138435465,0.3082218301721938,-0.0002475660400253,0.0063663878701279,0.0092148399644798,0.0,True,0.1409064768232617,1000.0
zel039_aec7,mean448_ridge,0,1,10708,1243,3052,0.1501213167877416,0.1605127974126525,0.027759138435465,0.3082218301721938,0.0005254224449967,0.0066312919144221,0.0115220263080118,0.0,True,0.1385992904797298,1000.0
zel039_aec7,mean448_ridge,0,2,10708,1243,3052,0.1501213167877416,0.1605127974126525,0.027759138435465,0.3082218301721938,0.0005304254355668,0.0060429041863777,0.0112424456728262,0.0,True,0.1388788711149153,1000.0
zel039_aec7,mean448_ridge,1,0,10776,1247,2980,0.117266939152093,0.0734770433063808,0.007916289538759,0.3087313270845789,-0.0004407879321144,0.0048968590525811,0.0072538767293735,0.0,True,0.1100130624227194,1000.0
zel039_aec7,mean448_ridge,1,1,10776,1247,2980,0.117266939152093,0.0734770433063808,0.007916289538759,0.3087313270845789,-0.0005638140667413,0.0048330853611428,0.0071929035507352,0.0,True,0.1100740356013577,1000.0
zel039_aec7,mean448_ridge,1,2,10776,1247,2980,0.117266939152093,0.0734770433063808,0.007916289538759,0.3087313270845789,0.0005043629772138,0.0049465024091984,0.0085234262272251,0.0,True,0.1087435129248678,1000.0
zel039_aec7,mean448_ridge,2,0,10755,1276,2972,0.1204753020153372,0.1005035987145329,0.0108824440227077,0.345405651320315,-6.300450405991143e-05,0.005124904641654,0.0089118590262046,0.0,True,0.1115634429891326,1000.0
zel039_aec7,mean448_ridge,2,1,10755,1276,2972,0.1204753020153372,0.1005035987145329,0.0108824440227077,0.345405651320315,8.009634860403736e-05,0.0048039353177462,0.008295133131196,0.0,True,0.1121801688841411,1000.0
zel039_aec7,mean448_ridge,2,2,10755,1276,2972,0.1204753020153372,0.1005035987145329,0.0108824440227077,0.345405651320315,-0.0002580814295951,0.0045597626947716,0.0071048443901418,0.0,True,0.1133704576251954,1000.0
zel039_aec7,mean448_ridge,3,0,10766,1229,3008,0.1166489652852344,0.1018386752199865,0.0071248668144047,0.2992087543475652,-0.0006128599888005,0.0047681152020841,0.006265847482382,0.0,True,0.1103831178028524,1000.0
zel039_aec7,mean448_ridge,3,1,10766,1229,3008,0.1166489652852344,0.1018386752199865,0.0071248668144047,0.2992087543475652,-0.0003240491212187,0.0045598412980504,0.0068563756393359,0.0,True,0.1097925896458984,1000.0
zel039_aec7,mean448_ridge,3,2,10766,1229,3008,0.1166489652852344,0.1018386752199865,0.0071248668144047,0.2992087543475652,-0.0003502775073345,0.0045715068647322,0.0064694456209053,0.0,True,0.110179519664329,1000.0
zel039_aec7,mean448_ridge,4,0,10739,1273,2991,0.1080248008873928,0.0924068174915209,-0.0034471603893064,0.3012816275909495,0.0002117943016433,0.0046387470250699,0.0084302384701004,0.0,True,0.0995945624172924,1000.0
zel039_aec7,mean448_ridge,4,1,10739,1273,2991,0.1080248008873928,0.0924068174915209,-0.0034471603893064,0.3012816275909495,-6.070321311556271e-05,0.0049045293402742,0.0084718098047915,0.0,True,0.0995529910826013,1000.0
zel039_aec7,mean448_ridge,4,2,10739,1273,2991,0.1080248008873928,0.0924068174915209,-0.0034471603893064,0.3012816275909495,0.0001765461502787,0.0049431453988494,0.0078884180894419,0.0,True,0.1001363827979508,1000.0
zel039_aec7,scantype896_mlp,0,0,10708,1243,3052,0.1670035902159037,0.1777833958795825,0.0141415531903298,0.3168947753934921,-0.0002592720362726,0.005987757424265,0.0089148908414927,0.0,True,0.158088699374411,3.0
zel039_aec7,scantype896_mlp,0,1,10708,1243,3052,0.1557508938080049,0.1736564358823447,0.0072024958066014,0.3139246504183019,7.746835147429465e-05,0.0064189342089847,0.0104051809579686,0.0,True,0.1453457128500362,2.0
zel039_aec7,scantype896_mlp,0,2,10708,1243,3052,0.1666896122812253,0.1799797238352313,0.0289731382187463,0.3211540741148377,-0.0003930512131067,0.0066506202882827,0.0113324483172618,0.0,True,0.1553571639639634,6.0
zel039_aec7,scantype896_mlp,1,0,10776,1247,2980,0.120437171658859,0.090148368283751,-0.0052178147842961,0.308440464775311,0.0007108924172984,0.0047218203199842,0.0078792407817218,0.0,True,0.1125579308771372,5.0
zel039_aec7,scantype896_mlp,1,1,10776,1247,2980,0.1242001908146779,0.0952307334710859,0.0062251477814701,0.3136288329233098,0.0003998782695711,0.0046757622271436,0.0082981900987078,0.0,True,0.11590200071597,6.0
zel039_aec7,scantype896_mlp,1,2,10776,1247,2980,0.1207431387517329,0.1013525533719736,-0.0062718916105921,0.3136505393858282,2.8723534661843075e-05,0.004923905290513,0.0073728415820823,0.0,True,0.1133702971696505,6.0
zel039_aec7,scantype896_mlp,2,0,10755,1276,2972,0.1307295007994218,0.1080375460729656,0.0258151426169452,0.3401321456910574,-4.603878080473578e-05,0.0049189623058249,0.0071363216104003,0.0,True,0.1235931791890214,5.0
