context,fold,seed,n_train,n_test,bottleneck_mcpearson_mean,bottleneck_mcpearson_median,bottleneck_null_q95,direct_mcpearson_mean,direct_mcpearson_median,direct_null_q95,oracle_mcpearson_mean,oracle_mcpearson_median,diff_mean,ci95_lo,ci95_hi,frac_boot_le_0,fraction_of_oracle_filled,bottleneck_prog_pearson_mean_sanity
zel024_hek293,3,2,7047,2030,0.0221995024384592,0.0189299156949229,0.0039613163793283,0.0128120337825989,0.0080021368062399,0.0026090016846626,0.2435485123682136,0.2344583965126675,0.0093874686558603,0.0064927550074518,0.0120878162659287,0.0,0.0911502280288886,0.0766864583351349
zel024_hek293,4,0,7175,1832,0.025815334215935,0.0264609384537678,0.0041374664669146,0.0151928201388302,0.0078364101294289,0.0028819913723222,0.2458947799255706,0.2337191773918353,0.0106225140771047,0.0076067675082041,0.0138719771667425,0.0,0.1049852877061848,0.0908560460789134
zel024_hek293,4,1,7175,1832,0.025815334215935,0.0264609384537678,0.0042598946168138,0.0151928201388302,0.0078364101294289,0.0021729964866063,0.2458947799255706,0.2337191773918353,0.0106225140771047,0.0076943168768173,0.0135236034906217,0.0,0.1049852877061848,0.0908560460789134
zel024_hek293,4,2,7175,1832,0.025815334215935,0.0264609384537678,0.0044497150135455,0.0151928201388302,0.0078364101294289,0.0024089141046611,0.2458947799255706,0.2337191773918353,0.0106225140771047,0.0076116420892724,0.0136810756599986,0.0,0.1049852877061848,0.0908560460789134
zel039_aec7,0,0,10708,3052,0.034033888805976,0.033896558304773,0.0102009122652345,0.0336360900979788,0.0280965447411663,0.005823743069235,0.1883187348812597,0.1875815834220053,0.0003977987079971,-0.0020365564563618,0.0028221939846038,0.362,0.1807249227084887,0.1648846929568356
zel039_aec7,0,1,10708,3052,0.035318227014584,0.0344251418543942,0.0114435626441029,0.0336360900979788,0.0280965447411663,0.0060909300893265,0.1883187348812597,0.1875815834220053,0.0016821369166052,-0.0007475706425879,0.004095335086315,0.093,0.1875449462681087,0.1689593510890418
zel039_aec7,0,2,10708,3052,0.0372307969423752,0.0373953919585677,0.0102304039982054,0.0336360900979788,0.0280965447411663,0.0062103458210915,0.1883187348812597,0.1875815834220053,0.0035947068443964,0.0014236073352835,0.0057663040878377,0.0,0.1977009720559686,0.1643137106129718
zel039_aec7,1,0,10776,2980,0.0520089511858922,0.0499874020098646,0.0117889430684295,0.0327983740066559,0.0293656164780357,0.0063513540046256,0.2458855125817284,0.2357233526974967,0.0192105771792363,0.0171610721715654,0.021497289789619,0.0,0.2115169398953724,0.1272297890293358
zel039_aec7,1,1,10776,2980,0.053653476220332,0.0512651392075368,0.011843181032738,0.0327983740066559,0.0293656164780357,0.0061876851707136,0.2458855125817284,0.2357233526974967,0.0208551022136761,0.0187307852873277,0.0230028763791979,0.0,0.2182051136603606,0.1238033724558856
zel039_aec7,1,2,10776,2980,0.0527039125697635,0.0519590231309443,0.0101012122928408,0.0327983740066559,0.0293656164780357,0.0061900723707644,0.2458855125817284,0.2357233526974967,0.0199055385631075,0.0176870665161693,0.0222564112963253,0.0,0.2143433015487059,0.1243244304547814
