context,program,image_features,chemistry_model,folds,n_test_compounds,r2_chem,r2_img,r2_joint,chem_only,img_only,shared,unexplained,img_only_fold_sd,chem_only_fold_sd,img_only_null_mean,img_only_null_sd,img_only_z,img_only_tail,chem_only_null_mean,chem_only_null_sd,chem_only_z,chem_only_tail,rel_img,img_only_rel_ceiling,r2_img_rel_ceiling,r_ceiling_img
zel031_thp1,P21,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.2209701493985388,0.0005033039713127,0.2222399113932757,0.221736607421963,0.0012697619947369,-0.0007664580234241,0.7777600886067242,0.0017246778399244,0.0462343711201822,0.0005281883744659,0.0007581664980147,0.97811446722165,0.12,0.0006774826507101,0.0009266146119212,238.56641361710305,0.0,0.424,0.0029947216857002,0.0011870376681904,0.6511528238439882
zel031_thp1,P22,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.1444267685817067,0.0002595609770961,0.144479227106976,0.1442196661298798,5.245852526922917e-05,0.0002071024518268,0.855520772893024,4.413119468635351e-05,0.0087455869979617,0.0005479223344117,0.0007674305914246,-0.6456138374973308,0.75375,0.0006768886339452,0.0010058588114596,142.7066859290402,0.0,0.424,0.0001237229369557,0.0006121721157927,0.6511528238439882
zel031_thp1,P23,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.1567082995210414,0.0019779689397797,0.1573740668328697,0.15539609789309,0.0006657673118283,0.0013122016279514,0.8426259331671302,0.0004903103470202,0.0217144810365073,0.0005096064086179,0.0007076498579561,0.2206753826834073,0.2625,0.0006719767266438,0.0009976653469852,155.0861936159138,0.0,0.424,0.0015702059241233,0.0046650210843861,0.6511528238439882
zel031_thp1,P24,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.0299659414427978,0.0002619013376364,0.030263427080838,0.0300015257432015,0.0002974856380402,-3.5584300403737005e-05,0.9697365729191618,8.953287633408534e-05,0.01266161914914,0.0006234986471955,0.0009549184753193,-0.3414040230463875,0.4775,0.0007040161467313,0.0009406329428879,31.146591045939736,0.0,0.424,0.0007016170708495,0.0006176918340482,0.6511528238439882
zel031_thp1,P25,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.3330489638766706,0.0047900721237339,0.3332578748277504,0.3284678027040164,0.0002089109510797,0.0045811611726541,0.6667421251722496,0.0002820937686415,0.0254315828364434,0.0004766350371687,0.000666545552907,-0.4016590987989171,0.51875,0.0006609756276374,0.0008949285937041,366.29383548866286,0.0,0.424,0.0004927145072634,0.0112973399144668,0.6511528238439882
zel031_thp1,P26,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.2509579265568417,0.0049437131403752,0.2512690898925074,0.2463253767521321,0.0003111633356657,0.0046325498047095,0.7487309101074926,0.0002394588795463,0.0086523868339318,0.0005122893842617,0.0007267271392108,-0.2767559345787703,0.4225,0.0006354472580577,0.0008827408230208,278.32623470758864,0.0,0.424,0.0007338757916644,0.0116597008027718,0.6511528238439882
zel031_thp1,P27,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.0371919177657833,0.0002063375059721,0.0372236009436837,0.0370172634377115,3.1683177900425526e-05,0.0001746543280717,0.9627763990563162,2.8805076026944583e-05,0.0212145606543574,0.000628785895411,0.000880114053425,-0.6784378856205437,0.82625,0.0006374308508663,0.0008968168293982,40.56551058620818,0.0,0.424,7.472447618024889e-05,0.0004866450612551,0.6511528238439882
zel031_thp1,P28,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.0957471218078867,0.0004742268630137,0.0959950680056377,0.0955208411426239,0.0002479461977509,0.0002262806652628,0.9040049319943624,0.0002985616804504,0.0329670965847875,0.0006261266772106,0.0008643404102515,-0.4375365017929241,0.52375,0.0006440964193505,0.0008653443175734,109.64045501485626,0.0,0.424,0.0005847787682805,0.0011184595825796,0.6511528238439882
zel031_thp1,P29,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.1020503777418684,0.0010485940128776,0.1023402747247356,0.101291680711858,0.0002898969828672,0.0007586970300104,0.8976597252752643,0.0002428284073718,0.019110528786535,0.0005939314484894,0.0008306071120004,-0.366038842227063,0.48125,0.0006824360820174,0.0010079179776624,99.81888096010748,0.0,0.424,0.0006837192992151,0.0024730990869755,0.6511528238439882
zel031_thp1,P30,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.1501556699409698,0.0001256408453501,0.1503101021603279,0.1501844613149777,0.000154432219358,-2.8791374007866577e-05,0.8496898978396721,0.0001534722535091,0.0215669816537192,0.0005982081074308,0.0008329677610612,-0.5327647825257383,0.61375,0.0007106849032233,0.0009978633369447,149.79383536567846,0.0,0.424,0.0003642269324482,0.0002963227484674,0.6511528238439882
zel031_thp1,P31,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.1420410169865229,0.0019338261131447,0.1424500649768764,0.1405162388637317,0.0004090479903535,0.0015247781227911,0.8575499350231235,0.000461710649714,0.0221778230967772,0.0005275254848522,0.0007978748390358,-0.1484913280908371,0.355,0.0006688589418763,0.0008954915384081,156.16828738600267,0.0,0.424,0.0009647358263055,0.0045609106442092,0.6511528238439882
zel031_thp1,P32,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",6023,0.1132443203420195,0.0004750534219691,0.1134465282833989,0.1129714748614298,0.0002022079413794,0.0002728454805897,0.886553471716601,0.0001175242029855,0.0285421968153451,0.0005774579336739,0.0008335549018785,-0.4501802958015933,0.55375,0.0006702437644816,0.0009199006403994,122.07974009908348,0.0,0.424,0.0004769055221212,0.0011204090140781,0.6511528238439882
zel031_a549,P01,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0183732090221398,0.0011826014621619,0.0196273453749893,0.0184447439128274,0.0012541363528495,-7.153489068757857e-05,0.9803726546250108,0.0019535156958469,0.0108112564306143,0.0007493254779635,0.0010174860288657,0.4961354363250392,0.18,0.0007398807538029,0.0009973085966187,17.752642681563174,0.0,0.424,0.0029578687567205,0.0027891543918913,0.6511528238439882
zel031_a549,P02,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0379486622392843,0.0002485737320042,0.037994803303637,0.0377462295716327,4.614106435274337e-05,0.0002024326676515,0.962005196696363,1.079197625869613e-05,0.035580454494148,0.0006869045995771,0.0010767682415893,-0.59508026934244,0.77875,0.0006759454505029,0.0009793265306091,37.85283351618543,0.0,0.424,0.0001088232649828,0.0005862588018968,0.6511528238439882
zel031_a549,P03,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0030467423731601,0.0009535212762075,0.0039359543348646,0.002982433058657,0.0008892119617044,6.430931450304971e-05,0.9960640456651352,0.0008685679499657,0.0014443983190907,0.0006860962956523,0.0009477817722537,0.2143063646066192,0.24625,0.0006780101988859,0.0009416922171423,2.447108320342978,0.04375,0.424,0.0020971980228878,0.0022488709344516,0.6511528238439882
