context,library,marker,program,n_test,r_raw,z_raw,tail_raw,r_partial,z_partial,tail_partial,marker_rel_sb,r_ceiling,r_chem_pred,z_chem_pred,r_img_pred,z_img_pred,fw_flag
zel024_hek293,zel024,p21,P17,7814,-0.0186850920877314,-1.7926412766456408,0.97,0.0067658463592617,0.5235184656039785,0.305,0.4277,0.6539877674696982,-0.022072037042886,-2.0221770958886864,-0.0934392856709954,-7.528516571243406,False
zel024_hek293,zel024,p21,P18,7814,0.0126091187427703,1.1222343131992538,0.15,-0.0170474188569728,-1.4362252618693334,0.93,0.4277,0.6539877674696982,0.0426918448045989,4.248173213691636,0.104350200838144,8.461121764562622,False
zel024_hek293,zel024,p21,P19,7814,-0.0128020117623359,-1.0970059695445125,0.865,0.0006172637112672,-0.0122567297986131,0.505,0.4277,0.6539877674696982,-0.033278316068615,-3.442671467093939,-0.0587393879718708,-4.617173109872113,False
zel024_hek293,zel024,p21,P20,7814,-0.0246393098428841,-2.209258501689205,0.995,0.007119589976181,0.5762505191413628,0.275,0.4277,0.6539877674696982,-0.034750748236467,-3.18188447457632,-0.0840452424536768,-6.724910534858289,False
zel024_hek293,zel024,p21,P21,7814,-0.0323878035548524,-2.976726487143078,1.0,-0.0017358246075607,-0.1179887354668559,0.575,0.4277,0.6539877674696982,-0.0484109747407316,-4.738104459474025,-0.0805335723428701,-6.305216307025506,False
zel024_hek293,zel024,p21,P22,7814,-0.0357444829352278,-3.5901606188909048,1.0,-0.009755013247865,-0.8035291840074401,0.755,0.4277,0.6539877674696982,-0.041706400332434,-3.917628695487113,-0.087414905138918,-7.255371881869824,False
zel024_hek293,zel024,p21,P23,7814,0.0296239548327547,2.5158438354545125,0.005,0.008313070476551,0.7077298416031836,0.275,0.4277,0.6539877674696982,0.0343742455540035,3.1556873605503704,0.1033341194753176,8.005228812639082,False
zel024_hek293,zel024,p21,P24,7814,0.0070318552011157,0.5844381182744595,0.24,0.0040860122063687,0.4118066762925939,0.335,0.4277,0.6539877674696982,-0.0073548250187025,-0.5734456155834732,-0.0024196586976418,-0.2093958493567904,False
zel024_hek293,zel024,p21,P25,7814,0.0241309935310539,2.450574949081715,0.01,0.0072145319970491,0.657152506805949,0.245,0.4277,0.6539877674696982,0.0308664754275507,3.139341265917707,0.0406470994692901,3.457140991241124,False
zel024_hek293,zel024,p21,P26,7814,-0.0265488946003868,-2.476053287518994,0.995,0.000841657672957,0.0517111026656289,0.48,0.4277,0.6539877674696982,-0.0431518854923952,-4.255579754950641,-0.0742826678793435,-5.926210130210071,False
zel024_hek293,zel024,p21,P27,7814,0.0078278803184602,0.8106064532032046,0.19,0.0208202739554376,2.000911135009988,0.015,0.4277,0.6539877674696982,-0.0250376495964585,-2.513769688525564,0.0268787611503998,2.480081901085367,False
zel024_hek293,zel024,p21,P28,7814,0.001692398531521,0.1296896730325399,0.46,-0.0180853088915603,-1.771051943618014,0.955,0.4277,0.6539877674696982,0.0340401910355636,3.4166613265004684,0.0098688517766743,0.7663316098091479,False
zel024_hek293,zel024,p21,P29,7814,-0.0156291520055847,-1.3344085097763203,0.92,0.0041449977073379,0.4532096958461775,0.31,0.4277,0.6539877674696982,-0.0382534773016464,-3.409079769729132,-0.0897532293798156,-7.349330303082491,False
zel024_hek293,zel024,p21,P30,7814,0.0062566221430086,0.5454227726588626,0.285,-0.0018271514137894,-0.1675847704768848,0.565,0.4277,0.6539877674696982,0.0068880568489966,0.5950796980436694,0.0634926702600739,5.0749785534093,False
zel024_hek293,zel024,p21,P31,7814,0.0042656595208726,0.3374935478240858,0.35,-0.0015364078946942,-0.2041939835525283,0.565,0.4277,0.6539877674696982,0.0246897017674946,2.2347743430796414,0.0088304147897342,0.7794994727706622,False
zel024_hek293,zel024,p21,P32,7814,-0.0036250473331826,-0.3444801129550698,0.615,0.0007397831853011,0.0052389156510047,0.48,0.4277,0.6539877674696982,0.0083916664734827,0.7513402709292061,-0.0399337877662671,-3.4038212800798773,False
zel024_hek293,zel024,p62,P01,3720,-0.0308605151486489,-1.9633830845154177,0.96,-0.031597788416793,-2.0339532761496883,0.98,0.5861,0.7655716818169283,0.0095256072783526,0.5581427505366573,0.0651274937899552,4.034760321102466,False
zel024_hek293,zel024,p62,P02,3720,0.0183680952735104,1.1479835882047138,0.115,0.0072265063311751,0.4825470807769808,0.29,0.5861,0.7655716818169283,0.0135777938766511,0.8038816429990789,0.0649768647345527,3.9647706386454176,False
zel024_hek293,zel024,p62,P03,3720,0.0138968599950688,0.7717496567651231,0.195,2.902746145931561e-05,0.0467927316746926,0.465,0.5861,0.7655716818169283,0.0126013403276144,0.8092786544826475,0.0527795478715318,3.1728849217377437,False
zel024_hek293,zel024,p62,P04,3720,-0.0118000691988912,-0.8047828317842738,0.805,-0.0084170188024901,-0.5441893563185104,0.7,0.5861,0.7655716818169283,-0.0092572145273408,-0.5949977854281221,-0.0107411974226995,-0.7682656293449888,False
zel024_hek293,zel024,p62,P05,3720,0.0098328586108483,0.5536465130115944,0.26,0.0139921658057175,0.8498292656681642,0.18,0.5861,0.7655716818169283,-0.0015694424387522,-0.0596592278308462,0.0607410104084234,3.872505946249998,False
zel024_hek293,zel024,p62,P06,3720,-0.0113320582732596,-0.7333722346338504,0.765,-0.0124254633190376,-0.8041941655520117,0.81,0.5861,0.7655716818169283,-0.0331683866627981,-2.018324580815852,0.0219254373606363,1.5244843235720604,False
zel024_hek293,zel024,p62,P07,3720,-0.0184318581025253,-1.091459953543379,0.875,-0.0267951255936594,-1.604797801828656,0.94,0.5861,0.7655716818169283,-0.0263571316290386,-1.7499729231907173,0.0063925258617923,0.4001767004553218,False
zel024_hek293,zel024,p62,P08,3720,0.0322241693800756,1.8738057205557048,0.035,0.0169149464576243,1.041174783959474,0.14,0.5861,0.7655716818169283,0.0476149496815449,2.809054652643673,0.0192420984250869,1.2994370508089927,False
zel024_hek293,zel024,p62,P09,3720,0.0023310712657746,0.1717929495056547,0.47,-0.0135170903765669,-0.8150415392026251,0.785,0.5861,0.7655716818169283,0.0001570410479245,0.072789380280554,0.0276043137632375,1.4223718252916189,False
zel024_hek293,zel024,p62,P10,3720,0.003825932593945,0.0911506167626476,0.455,0.0162410379782668,1.0906876427742611,0.13,0.5861,0.7655716818169283,0.0079036821876722,0.5034020190642601,0.0352170889614467,2.2104129469765805,False
zel024_hek293,zel024,p62,P11,3720,0.0180141810387641,1.122242167032284,0.135,0.0396602536644404,2.572275795504081,0.0,0.5861,0.7655716818169283,0.0145505892497545,0.8231387118855801,-0.0744382492914453,-4.448288232062648,False
zel024_hek293,zel024,p62,P12,3720,0.0221870547059684,1.3884438448418377,0.08,-0.0276621445934913,-1.769350685459747,0.965,0.5861,0.7655716818169283,0.0219981377836651,1.3765949101371435,0.1114636568578679,6.128174537848484,False
zel024_hek293,zel024,p62,P13,3720,0.0143591974677237,0.8419513339780231,0.2,0.0380467884427891,2.3372579485997527,0.01,0.5861,0.7655716818169283,0.009097151364426,0.5529638668372597,-0.0432262339285078,-2.305472802961364,False
zel024_hek293,zel024,p62,P14,3720,0.0180396098297366,1.1046781317520242,0.12,-0.0068975444455664,-0.4937534597230723,0.67,0.5861,0.7655716818169283,0.0259741554397093,1.62932517630585,0.0601694763667409,3.6380826029648654,False
zel024_hek293,zel024,p62,P15,3720,0.007350587272644,0.45098412078363,0.32,-0.0420086394515964,-2.5461638959027475,0.995,0.5861,0.7655716818169283,0.0126768459712413,0.7786364958073515,0.1136202370266392,6.745347808230755,False
zel024_hek293,zel024,p62,P16,3720,-0.0214551670255109,-1.3388731973089232,0.88,-0.0645739922031506,-3.764003182323069,1.0,0.5861,0.7655716818169283,0.0026915542465368,0.1701730003770704,0.1150615503936489,6.899277349329804,True
